Country,Year,Month,MonthStart,Region,DealerID,DealerName,DealerRating,MembershipTier,Channel,ProductCategory,UnitsSold,UnitPrice,GrossSales,DiscountRate,DiscountAmount,NetSales
United Kingdom,2022,1,2022-01-01,South East,D1009,South Dealer 4,3,Silver,Online,Beauty,92,19.15,1761.8,0.0423,74.57,1687.23
United Kingdom,2022,1,2022-01-01,South East,D1010,South Dealer 5,3,Standard,Online,Clothing,88,29.57,2602.16,0.044,114.51,2487.65
United Kingdom,2022,1,2022-01-01,South East,D1010,South Dealer 5,3,Standard,Retail,Sports,48,61.92,2972.16,0.0051,15.08,2957.08
United Kingdom,2022,1,2022-01-01,South East,D1010,South Dealer 5,3,Standard,Online,Grocery,463,7.9,3657.7,0.0304,111.09,3546.61
United Kingdom,2022,1,2022-01-01,South West,D1011,South Dealer 1,3,Silver,Online,Electronics,20,228.04,4560.8,0.0462,210.94,4349.86
United Kingdom,2022,1,2022-01-01,South West,D1011,South Dealer 1,3,Silver,Retail,Home & Garden,69,74.86,5165.34,0.0691,357.0,4808.34
United Kingdom,2022,1,2022-01-01,South West,D1011,South Dealer 1,3,Silver,Retail,Clothing,80,30.16,2412.8,0.0906,218.69,2194.11
United Kingdom,2022,1,2022-01-01,South West,D1011,South Dealer 1,3,Silver,Online,Sports,88,59.15,5205.2,0.0507,263.77,4941.43
United Kingdom,2022,1,2022-01-01,South West,D1011,South Dealer 1,3,Silver,Retail,Grocery,338,8.26,2791.88,0.1137,317.4,2474.48
United Kingdom,2022,1,2022-01-01,South West,D1011,South Dealer 1,3,Silver,Online,Beauty,127,16.54,2100.58,0.0512,107.47,1993.11
United Kingdom,2022,1,2022-01-01,South West,D1012,South Dealer 2,4,Silver,Online,Electronics,31,226.04,7007.24,0.0915,640.86,6366.38
United Kingdom,2022,1,2022-01-01,South West,D1012,South Dealer 2,4,Silver,Retail,Clothing,56,29.45,1649.2,0.0617,101.75,1547.45
United Kingdom,2022,1,2022-01-01,South West,D1012,South Dealer 2,4,Silver,Online,Sports,96,54.42,5224.32,0.0444,232.0,4992.32
United Kingdom,2022,1,2022-01-01,South West,D1012,South Dealer 2,4,Silver,Retail,Grocery,322,7.79,2508.38,0.0471,118.07,2390.31
United Kingdom,2022,1,2022-01-01,South West,D1012,South Dealer 2,4,Silver,Retail,Beauty,164,19.37,3176.68,0.0554,175.84,3000.84
United Kingdom,2022,1,2022-01-01,South West,D1013,South Dealer 3,4,Silver,Retail,Electronics,20,226.76,4535.2,0.0626,283.79,4251.41
United Kingdom,2022,1,2022-01-01,South West,D1013,South Dealer 3,4,Silver,Retail,Home & Garden,43,79.65,3424.95,0.0525,179.84,3245.11
United Kingdom,2022,1,2022-01-01,South West,D1013,South Dealer 3,4,Silver,Online,Clothing,78,30.67,2392.26,0.0454,108.72,2283.54
United Kingdom,2022,1,2022-01-01,South West,D1013,South Dealer 3,4,Silver,Retail,Sports,89,55.16,4909.24,0.0442,216.91,4692.33
United Kingdom,2022,1,2022-01-01,South West,D1013,South Dealer 3,4,Silver,Online,Grocery,379,8.44,3198.76,0.0604,193.17,3005.59
United Kingdom,2022,1,2022-01-01,South West,D1013,South Dealer 3,4,Silver,Online,Beauty,94,16.08,1511.52,0.0606,91.64,1419.88
United Kingdom,2022,1,2022-01-01,South West,D1014,South Dealer 4,3,Standard,Retail,Electronics,24,220.53,5292.72,0.0117,61.87,5230.85
United Kingdom,2022,1,2022-01-01,South West,D1014,South Dealer 4,3,Standard,Retail,Clothing,75,32.33,2424.75,0.0221,53.53,2371.22
United Kingdom,2022,1,2022-01-01,South West,D1014,South Dealer 4,3,Standard,Retail,Sports,67,57.8,3872.6,0.0,0.0,3872.6
United Kingdom,2022,1,2022-01-01,South West,D1014,South Dealer 4,3,Standard,Retail,Grocery,292,9.11,2660.12,0.0539,143.35,2516.77
United Kingdom,2022,1,2022-01-01,South West,D1014,South Dealer 4,3,Standard,Online,Beauty,130,18.01,2341.3,0.0087,20.38,2320.92
United Kingdom,2022,1,2022-01-01,South West,D1015,South Dealer 5,3,Standard,Wholesale,Electronics,27,201.67,5445.09,0.014,76.01,5369.08
United Kingdom,2022,1,2022-01-01,South West,D1015,South Dealer 5,3,Standard,Online,Home & Garden,40,73.35,2934.0,0.0159,46.6,2887.4
United Kingdom,2022,1,2022-01-01,South West,D1015,South Dealer 5,3,Standard,Online,Clothing,79,32.21,2544.59,0.0167,42.6,2501.99
United Kingdom,2022,1,2022-01-01,South West,D1015,South Dealer 5,3,Standard,Retail,Sports,59,57.05,3365.95,0.0368,123.75,3242.2
United Kingdom,2022,1,2022-01-01,South West,D1015,South Dealer 5,3,Standard,Retail,Beauty,138,17.79,2455.02,0.0257,63.07,2391.95
United Kingdom,2022,1,2022-01-01,East of England,D1016,East Dealer 1,4,Standard,Wholesale,Electronics,28,193.17,5408.76,0.079,427.5,4981.26
United Kingdom,2022,1,2022-01-01,East of England,D1016,East Dealer 1,4,Standard,Online,Clothing,91,31.0,2821.0,0.0155,43.8,2777.2
United Kingdom,2022,1,2022-01-01,East of England,D1016,East Dealer 1,4,Standard,Retail,Sports,79,61.03,4821.37,0.0203,97.7,4723.67
United Kingdom,2022,1,2022-01-01,East of England,D1016,East Dealer 1,4,Standard,Retail,Beauty,104,16.16,1680.64,0.0189,31.85,1648.79
United Kingdom,2022,1,2022-01-01,East of England,D1017,East Dealer 2,3,Silver,Online,Electronics,25,206.16,5154.0,0.052,268.25,4885.75
United Kingdom,2022,1,2022-01-01,East of England,D1017,East Dealer 2,3,Silver,Retail,Clothing,90,30.98,2788.2,0.0453,126.3,2661.9
United Kingdom,2022,1,2022-01-01,East of England,D1017,East Dealer 2,3,Silver,Retail,Sports,90,52.49,4724.1,0.0642,303.07,4421.03
United Kingdom,2022,1,2022-01-01,East of England,D1017,East Dealer 2,3,Silver,Retail,Grocery,328,7.38,2420.64,0.0222,53.63,2367.01
United Kingdom,2022,1,2022-01-01,East of England,D1017,East Dealer 2,3,Silver,Online,Beauty,96,18.19,1746.24,0.043,75.12,1671.12
United Kingdom,2022,1,2022-01-01,East of England,D1018,East Dealer 3,3,Silver,Online,Home & Garden,44,72.52,3190.88,0.0613,195.59,2995.29
United Kingdom,2022,1,2022-01-01,East of England,D1018,East Dealer 3,3,Silver,Online,Clothing,106,30.18,3199.08,0.0288,92.0,3107.08
United Kingdom,2022,1,2022-01-01,East of England,D1018,East Dealer 3,3,Silver,Online,Sports,80,62.65,5012.0,0.0695,348.32,4663.68
United Kingdom,2022,1,2022-01-01,East of England,D1018,East Dealer 3,3,Silver,Retail,Grocery,533,7.67,4088.11,0.0592,242.08,3846.03
United Kingdom,2022,1,2022-01-01,East of England,D1019,East Dealer 4,3,Standard,Online,Home & Garden,52,69.35,3606.2,0.0138,49.62,3556.58
United Kingdom,2022,1,2022-01-01,East of England,D1019,East Dealer 4,3,Standard,Online,Sports,53,59.35,3145.55,0.0242,76.13,3069.42
United Kingdom,2022,1,2022-01-01,East of England,D1019,East Dealer 4,3,Standard,Online,Grocery,465,7.97,3706.05,0.0287,106.36,3599.69
United Kingdom,2022,1,2022-01-01,East of England,D1020,East Dealer 5,4,Silver,Retail,Electronics,39,214.77,8376.03,0.0652,545.76,7830.27
United Kingdom,2022,1,2022-01-01,East of England,D1020,East Dealer 5,4,Silver,Online,Sports,64,55.8,3571.2,0.0583,208.33,3362.87
United Kingdom,2022,1,2022-01-01,East of England,D1020,East Dealer 5,4,Silver,Retail,Grocery,539,8.25,4446.75,0.043,191.2,4255.55
United Kingdom,2022,1,2022-01-01,East of England,D1020,East Dealer 5,4,Silver,Online,Beauty,121,18.45,2232.45,0.0563,125.62,2106.83
United Kingdom,2022,1,2022-01-01,West Midlands,D1021,West Dealer 1,5,Standard,Retail,Home & Garden,75,70.29,5271.75,0.0209,110.2,5161.55
United Kingdom,2022,1,2022-01-01,West Midlands,D1021,West Dealer 1,5,Standard,Online,Clothing,116,33.04,3832.64,0.025,95.99,3736.65
United Kingdom,2022,1,2022-01-01,West Midlands,D1021,West Dealer 1,5,Standard,Online,Sports,105,58.16,6106.8,0.0288,175.59,5931.21
United Kingdom,2022,1,2022-01-01,West Midlands,D1021,West Dealer 1,5,Standard,Retail,Beauty,146,17.9,2613.4,0.0128,33.46,2579.94
United Kingdom,2022,1,2022-01-01,West Midlands,D1022,West Dealer 2,5,Standard,Online,Electronics,30,192.75,5782.5,0.0265,153.19,5629.31
United Kingdom,2022,1,2022-01-01,West Midlands,D1022,West Dealer 2,5,Standard,Retail,Home & Garden,72,72.47,5217.84,0.0234,122.15,5095.69
United Kingdom,2022,1,2022-01-01,West Midlands,D1022,West Dealer 2,5,Standard,Online,Grocery,344,8.17,2810.48,0.0437,122.76,2687.72
United Kingdom,2022,1,2022-01-01,West Midlands,D1022,West Dealer 2,5,Standard,Online,Beauty,97,15.6,1513.2,0.0272,41.17,1472.03
United Kingdom,2022,1,2022-01-01,West Midlands,D1023,West Dealer 3,4,Platinum,Online,Electronics,27,230.22,6215.94,0.0979,608.39,5607.55
United Kingdom,2022,1,2022-01-01,West Midlands,D1023,West Dealer 3,4,Platinum,Wholesale,Home & Garden,69,57.86,3992.34,0.138,550.87,3441.47
United Kingdom,2022,1,2022-01-01,West Midlands,D1023,West Dealer 3,4,Platinum,Online,Clothing,100,26.78,2678.0,0.1323,354.29,2323.71
United Kingdom,2022,1,2022-01-01,West Midlands,D1023,West Dealer 3,4,Platinum,Retail,Sports,41,58.83,2412.03,0.1233,297.36,2114.67
United Kingdom,2022,1,2022-01-01,West Midlands,D1023,West Dealer 3,4,Platinum,Retail,Grocery,391,7.36,2877.76,0.1307,376.06,2501.7
United Kingdom,2022,1,2022-01-01,West Midlands,D1024,West Dealer 4,4,Gold,Retail,Electronics,27,228.65,6173.55,0.0805,496.83,5676.72
United Kingdom,2022,1,2022-01-01,West Midlands,D1024,West Dealer 4,4,Gold,Retail,Home & Garden,71,70.09,4976.39,0.0822,409.3,4567.09
United Kingdom,2022,1,2022-01-01,West Midlands,D1024,West Dealer 4,4,Gold,Wholesale,Clothing,120,28.14,3376.8,0.0784,264.76,3112.04
United Kingdom,2022,1,2022-01-01,West Midlands,D1024,West Dealer 4,4,Gold,Retail,Sports,78,58.34,4550.52,0.0901,409.92,4140.6
United Kingdom,2022,1,2022-01-01,West Midlands,D1024,West Dealer 4,4,Gold,Retail,Grocery,503,7.27,3656.81,0.1667,609.49,3047.32
United Kingdom,2022,1,2022-01-01,West Midlands,D1025,West Dealer 5,3,Standard,Retail,Electronics,31,218.01,6758.31,0.0024,16.09,6742.22
United Kingdom,2022,1,2022-01-01,West Midlands,D1025,West Dealer 5,3,Standard,Online,Home & Garden,97,72.29,7012.13,0.0137,96.0,6916.13
United Kingdom,2022,1,2022-01-01,West Midlands,D1025,West Dealer 5,3,Standard,Wholesale,Clothing,89,29.64,2637.96,0.0204,53.71,2584.25
United Kingdom,2022,1,2022-01-01,West Midlands,D1025,West Dealer 5,3,Standard,Wholesale,Grocery,334,6.97,2327.98,0.0153,35.52,2292.46
United Kingdom,2022,1,2022-01-01,West Midlands,D1025,West Dealer 5,3,Standard,Online,Beauty,188,17.46,3282.48,0.0884,290.21,2992.27
United Kingdom,2022,1,2022-01-01,East Midlands,D1026,East Dealer 1,2,Standard,Wholesale,Electronics,18,189.97,3419.46,0.0236,80.78,3338.68
United Kingdom,2022,1,2022-01-01,East Midlands,D1026,East Dealer 1,2,Standard,Retail,Home & Garden,52,72.16,3752.32,0.0083,31.13,3721.19
United Kingdom,2022,1,2022-01-01,East Midlands,D1026,East Dealer 1,2,Standard,Online,Sports,49,57.96,2840.04,0.0248,70.34,2769.7
United Kingdom,2022,1,2022-01-01,East Midlands,D1026,East Dealer 1,2,Standard,Retail,Beauty,136,18.61,2530.96,0.0323,81.63,2449.33
United Kingdom,2022,1,2022-01-01,East Midlands,D1027,East Dealer 2,3,Gold,Retail,Home & Garden,90,73.18,6586.2,0.0678,446.22,6139.98
United Kingdom,2022,1,2022-01-01,East Midlands,D1027,East Dealer 2,3,Gold,Online,Sports,75,53.84,4038.0,0.1173,473.7,3564.3
United Kingdom,2022,1,2022-01-01,East Midlands,D1027,East Dealer 2,3,Gold,Online,Beauty,116,15.97,1852.52,0.1031,190.96,1661.56
United Kingdom,2022,1,2022-01-01,East Midlands,D1028,East Dealer 3,3,Silver,Retail,Home & Garden,40,69.13,2765.2,0.0515,142.53,2622.67
United Kingdom,2022,1,2022-01-01,East Midlands,D1028,East Dealer 3,3,Silver,Retail,Clothing,53,30.48,1615.44,0.0594,95.91,1519.53
United Kingdom,2022,1,2022-01-01,East Midlands,D1028,East Dealer 3,3,Silver,Retail,Sports,54,52.76,2849.04,0.0532,151.47,2697.57
United Kingdom,2022,1,2022-01-01,East Midlands,D1028,East Dealer 3,3,Silver,Wholesale,Grocery,554,7.16,3966.64,0.0382,151.61,3815.03
United Kingdom,2022,1,2022-01-01,East Midlands,D1028,East Dealer 3,3,Silver,Online,Beauty,114,18.1,2063.4,0.1085,223.8,1839.6
United Kingdom,2022,1,2022-01-01,East Midlands,D1029,East Dealer 4,4,Standard,Online,Electronics,18,213.22,3837.96,0.0253,96.98,3740.98
United Kingdom,2022,1,2022-01-01,East Midlands,D1029,East Dealer 4,4,Standard,Retail,Home & Garden,74,69.91,5173.34,0.0222,114.79,5058.55
United Kingdom,2022,1,2022-01-01,East Midlands,D1029,East Dealer 4,4,Standard,Retail,Clothing,76,33.7,2561.2,0.0342,87.71,2473.49
United Kingdom,2022,1,2022-01-01,East Midlands,D1029,East Dealer 4,4,Standard,Online,Beauty,130,18.43,2395.9,0.027,64.63,2331.27
United Kingdom,2022,1,2022-01-01,East Midlands,D1030,East Dealer 5,4,Silver,Retail,Electronics,45,212.83,9577.35,0.0502,480.41,9096.94
United Kingdom,2022,1,2022-01-01,East Midlands,D1030,East Dealer 5,4,Silver,Online,Home & Garden,52,72.04,3746.08,0.0764,286.29,3459.79
United Kingdom,2022,1,2022-01-01,East Midlands,D1030,East Dealer 5,4,Silver,Retail,Sports,82,55.57,4556.74,0.0571,260.26,4296.48
United Kingdom,2022,1,2022-01-01,East Midlands,D1030,East Dealer 5,4,Silver,Retail,Grocery,557,7.38,4110.66,0.075,308.37,3802.29
United Kingdom,2022,1,2022-01-01,East Midlands,D1030,East Dealer 5,4,Silver,Retail,Beauty,128,18.35,2348.8,0.0568,133.39,2215.41
United Kingdom,2022,1,2022-01-01,North West,D1031,North Dealer 1,3,Gold,Online,Electronics,32,219.09,7010.88,0.0771,540.43,6470.45
United Kingdom,2022,1,2022-01-01,North West,D1031,North Dealer 1,3,Gold,Retail,Home & Garden,48,69.35,3328.8,0.0832,276.93,3051.87
United Kingdom,2022,1,2022-01-01,North West,D1031,North Dealer 1,3,Gold,Online,Clothing,69,28.47,1964.43,0.0773,151.8,1812.63
United Kingdom,2022,1,2022-01-01,North West,D1031,North Dealer 1,3,Gold,Retail,Grocery,287,8.6,2468.2,0.0885,218.44,2249.76
United Kingdom,2022,1,2022-01-01,North West,D1031,North Dealer 1,3,Gold,Retail,Beauty,104,17.98,1869.92,0.0843,157.64,1712.28
United Kingdom,2022,1,2022-01-01,North West,D1032,North Dealer 2,3,Standard,Retail,Electronics,12,228.0,2736.0,0.0205,56.14,2679.86
United Kingdom,2022,1,2022-01-01,North West,D1032,North Dealer 2,3,Standard,Online,Home & Garden,56,75.43,4224.08,0.0235,99.12,4124.96
United Kingdom,2022,1,2022-01-01,North West,D1032,North Dealer 2,3,Standard,Retail,Clothing,97,33.25,3225.25,0.0096,30.97,3194.28
United Kingdom,2022,1,2022-01-01,North West,D1032,North Dealer 2,3,Standard,Retail,Sports,94,56.46,5307.24,0.0222,117.68,5189.56
United Kingdom,2022,1,2022-01-01,North West,D1032,North Dealer 2,3,Standard,Online,Grocery,358,7.92,2835.36,0.0305,86.5,2748.86
United Kingdom,2022,1,2022-01-01,North West,D1032,North Dealer 2,3,Standard,Online,Beauty,144,17.55,2527.2,0.0125,31.48,2495.72
United Kingdom,2022,1,2022-01-01,North West,D1033,North Dealer 3,2,Gold,Retail,Home & Garden,59,77.45,4569.55,0.0807,368.76,4200.79
United Kingdom,2022,1,2022-01-01,North West,D1033,North Dealer 3,2,Gold,Online,Clothing,83,28.9,2398.7,0.0586,140.47,2258.23
United Kingdom,2022,1,2022-01-01,North West,D1033,North Dealer 3,2,Gold,Retail,Sports,69,57.48,3966.12,0.068,269.69,3696.43
United Kingdom,2022,1,2022-01-01,North West,D1033,North Dealer 3,2,Gold,Retail,Beauty,128,16.41,2100.48,0.0585,122.97,1977.51
United Kingdom,2022,1,2022-01-01,North West,D1034,North Dealer 4,4,Standard,Retail,Sports,112,56.28,6303.36,0.0289,182.3,6121.06
United Kingdom,2022,1,2022-01-01,North West,D1034,North Dealer 4,4,Standard,Retail,Grocery,437,7.65,3343.05,0.0152,50.67,3292.38
United Kingdom,2022,1,2022-01-01,North West,D1034,North Dealer 4,4,Standard,Online,Beauty,126,16.77,2113.02,0.0091,19.3,2093.72
United Kingdom,2022,1,2022-01-01,North West,D1035,North Dealer 5,5,Standard,Online,Electronics,30,217.33,6519.9,0.0706,460.49,6059.41
United Kingdom,2022,1,2022-01-01,North West,D1035,North Dealer 5,5,Standard,Retail,Home & Garden,71,74.51,5290.21,0.0525,277.76,5012.45
United Kingdom,2022,1,2022-01-01,North West,D1035,North Dealer 5,5,Standard,Wholesale,Clothing,97,28.8,2793.6,0.0451,125.98,2667.62
United Kingdom,2022,1,2022-01-01,North West,D1035,North Dealer 5,5,Standard,Online,Sports,63,54.27,3419.01,0.0343,117.35,3301.66
United Kingdom,2022,1,2022-01-01,North West,D1035,North Dealer 5,5,Standard,Online,Grocery,477,7.63,3639.51,0.0206,75.05,3564.46
United Kingdom,2022,1,2022-01-01,North West,D1035,North Dealer 5,5,Standard,Retail,Beauty,134,17.26,2312.84,0.0231,53.41,2259.43
United Kingdom,2022,1,2022-01-01,North East,D1036,North Dealer 1,3,Silver,Retail,Home & Garden,64,75.04,4802.56,0.062,297.95,4504.61
United Kingdom,2022,1,2022-01-01,North East,D1036,North Dealer 1,3,Silver,Online,Clothing,78,28.27,2205.06,0.0375,82.62,2122.44
United Kingdom,2022,1,2022-01-01,North East,D1036,North Dealer 1,3,Silver,Retail,Sports,61,53.17,3243.37,0.0582,188.89,3054.48
United Kingdom,2022,1,2022-01-01,North East,D1036,North Dealer 1,3,Silver,Retail,Grocery,308,7.4,2279.2,0.0367,83.65,2195.55
United Kingdom,2022,1,2022-01-01,North East,D1036,North Dealer 1,3,Silver,Online,Beauty,85,17.0,1445.0,0.0381,55.06,1389.94
United Kingdom,2022,1,2022-01-01,North East,D1037,North Dealer 2,3,Gold,Retail,Home & Garden,53,70.83,3753.99,0.0879,329.95,3424.04
United Kingdom,2022,1,2022-01-01,North East,D1037,North Dealer 2,3,Gold,Online,Sports,60,55.05,3303.0,0.0759,250.77,3052.23
United Kingdom,2022,1,2022-01-01,North East,D1037,North Dealer 2,3,Gold,Online,Grocery,524,7.92,4150.08,0.079,328.01,3822.07
United Kingdom,2022,1,2022-01-01,North East,D1037,North Dealer 2,3,Gold,Retail,Beauty,138,15.42,2127.96,0.0803,170.84,1957.12
United Kingdom,2022,1,2022-01-01,North East,D1038,North Dealer 3,4,Silver,Retail,Home & Garden,66,71.59,4724.94,0.0648,306.23,4418.71
United Kingdom,2022,1,2022-01-01,North East,D1038,North Dealer 3,4,Silver,Online,Clothing,92,30.07,2766.44,0.0643,177.93,2588.51
United Kingdom,2022,1,2022-01-01,North East,D1038,North Dealer 3,4,Silver,Retail,Sports,93,55.83,5192.19,0.058,301.24,4890.95
United Kingdom,2022,1,2022-01-01,North East,D1038,North Dealer 3,4,Silver,Retail,Beauty,102,16.18,1650.36,0.0676,111.51,1538.85
United Kingdom,2022,1,2022-01-01,North East,D1039,North Dealer 4,5,Gold,Online,Electronics,21,199.47,4188.87,0.0988,413.95,3774.92
United Kingdom,2022,1,2022-01-01,North East,D1039,North Dealer 4,5,Gold,Retail,Home & Garden,56,77.05,4314.8,0.1052,453.97,3860.83
United Kingdom,2022,1,2022-01-01,North East,D1039,North Dealer 4,5,Gold,Online,Clothing,112,31.6,3539.2,0.0973,344.37,3194.83
United Kingdom,2022,1,2022-01-01,North East,D1039,North Dealer 4,5,Gold,Retail,Sports,80,55.84,4467.2,0.0784,350.13,4117.07
United Kingdom,2022,1,2022-01-01,North East,D1039,North Dealer 4,5,Gold,Online,Beauty,139,17.68,2457.52,0.0781,191.84,2265.68
United Kingdom,2022,1,2022-01-01,North East,D1040,North Dealer 5,4,Silver,Retail,Electronics,26,204.73,5322.98,0.0474,252.19,5070.79
United Kingdom,2022,1,2022-01-01,North East,D1040,North Dealer 5,4,Silver,Wholesale,Home & Garden,84,68.67,5768.28,0.0426,245.83,5522.45
United Kingdom,2022,1,2022-01-01,North East,D1040,North Dealer 5,4,Silver,Retail,Sports,72,58.33,4199.76,0.0567,237.99,3961.77
United Kingdom,2022,1,2022-01-01,North East,D1040,North Dealer 5,4,Silver,Online,Grocery,361,7.83,2826.63,0.0681,192.54,2634.09
United Kingdom,2022,1,2022-01-01,North East,D1040,North Dealer 5,4,Silver,Wholesale,Beauty,103,15.4,1586.2,0.0842,133.62,1452.58
United Kingdom,2022,1,2022-01-01,Yorkshire and the Humber,D1041,Yorkshire Dealer 1,3,Silver,Retail,Electronics,20,208.16,4163.2,0.0322,134.11,4029.09
United Kingdom,2022,1,2022-01-01,Yorkshire and the Humber,D1041,Yorkshire Dealer 1,3,Silver,Online,Home & Garden,53,72.76,3856.28,0.0525,202.29,3653.99
United Kingdom,2022,1,2022-01-01,Yorkshire and the Humber,D1041,Yorkshire Dealer 1,3,Silver,Wholesale,Clothing,79,29.71,2347.09,0.0495,116.11,2230.98
United Kingdom,2022,1,2022-01-01,Yorkshire and the Humber,D1041,Yorkshire Dealer 1,3,Silver,Wholesale,Sports,46,57.36,2638.56,0.0542,143.05,2495.51
United Kingdom,2022,1,2022-01-01,Yorkshire and the Humber,D1041,Yorkshire Dealer 1,3,Silver,Retail,Grocery,499,7.13,3557.87,0.0597,212.56,3345.31
United Kingdom,2022,1,2022-01-01,Yorkshire and the Humber,D1041,Yorkshire Dealer 1,3,Silver,Retail,Beauty,124,18.3,2269.2,0.0464,105.29,2163.91
United Kingdom,2022,1,2022-01-01,Yorkshire and the Humber,D1042,Yorkshire Dealer 2,4,Standard,Retail,Clothing,99,31.27,3095.73,0.0214,66.11,3029.62
United Kingdom,2022,1,2022-01-01,Yorkshire and the Humber,D1042,Yorkshire Dealer 2,4,Standard,Online,Sports,80,52.52,4201.6,0.0246,103.37,4098.23
